id,name,sku,status,price,regular_price,sale_price,stock_status,stock_quantity,short_description,permalink
3145,August Wi-Fi Smart Lock (4th Gen),SH-LCK-AUGS-001,publish,1299,1499,1299,instock,,"<p>August Wi-Fi Smart Lock (4th Gen) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/august-wi-fi-smart-lock-4th-gen/
3144,Aqara Smart Lock U200,SH-LCK-AQRA-001,publish,1249,1439,1249,instock,,"<p>Aqara Smart Lock U200 &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/aqara-smart-lock-u200/
3143,Yale Assure Lock 2 Wi-Fi,SH-LCK-YALE-001,publish,1549,1549,,instock,,"<p>Yale Assure Lock 2 Wi-Fi &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/yale-assure-lock-2-wi-fi/
3142,Google Nest Hub (2nd Gen),SH-DSP-GGLE-001,publish,699,699,,instock,,"<p>Google Nest Hub (2nd Gen) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/google-nest-hub-2nd-gen/
3141,Amazon Echo Show 8 (3rd Gen),SH-DSP-AMZN-001,publish,999,999,,instock,,"<p>Amazon Echo Show 8 (3rd Gen) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/amazon-echo-show-8-3rd-gen/
3140,Amazon Echo Dot (5th Gen),SH-SPK-AMZN-002,publish,399,459,399,instock,,"<p>Amazon Echo Dot (5th Gen) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/amazon-echo-dot-5th-gen/
3139,Google Nest Audio,SH-SPK-GGLE-001,publish,699,809,699,instock,,"<p>Google Nest Audio &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/google-nest-audio/
3138,Apple HomePod Mini,SH-SPK-APPL-001,publish,699,699,,instock,,"<p>Apple HomePod Mini &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/apple-homepod-mini/
3137,Amazon Echo (4th Gen),SH-SPK-AMZN-001,publish,699,699,,instock,,"<p>Amazon Echo (4th Gen) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/amazon-echo-4th-gen/
3071,Sonoff SNZB-02D Zigbee Temperature &amp; Humidity Sensor with LCD Display,NG-SH-015,publish,159,159,,instock,,"<p>Temperature and humidity sensor from Sonoff with Zigbee 3.0 and a large built-in LCD display showing readings clearly. Swiss-made Sensirion sensor for high accuracy with CR2477 battery lasting up to 2 years. Smaller and more accurate than the previous generation.</p>
",https://neogen.store/product/sonoff-snzb-02d-zigbee-temperature-humidity-sensor-with-lcd-display/
3070,MOES Zigbee Smart Thermostat (BHT-002-GCLZB) - Programmable HVAC Control,NG-SH-014,publish,379,439,379,instock,,"<p>Smart thermostat from MOES with Zigbee 3.0 and LCD touchscreen for home temperature regulation. Supports water/electric underfloor heating and Fan Coil central air conditioning. Weekly programmable scheduling with Tuya and Home Assistant compatibility.</p>
",https://neogen.store/product/moes-zigbee-smart-thermostat-bht-002-gclzb-programmable-hvac-control/
3069,Zemismart Zigbee Smart Tubular Motor (ZM25TQ) - Heavy-Duty Roller Blind Motor,NG-SH-013,publish,699,699,,instock,,"<p>Smart tubular motor from Zemismart with Zigbee 3.0 designed for roller blinds and blackout shades. 1.2Nm torque handles blinds up to 8kg quietly. Direct 100-240V AC power eliminates battery concerns, with full Tuya and Home Assistant compatibility.</p>
",https://neogen.store/product/zemismart-zigbee-smart-tubular-motor-zm25tq-heavy-duty-roller-blind-motor/
3068,Aqara Roller Shade Driver E1 (RSD-M01) - Smart Roller Blind Motor with HomeKit,NG-SH-012,publish,599,689,599,instock,,"<p>Smart motor from Aqara for roller shades/blinds using Zigbee 3.0 with full Apple HomeKit compatibility. Supports manual pull control, app control, and voice control. Built-in 6000mAh battery charges via USB-C and lasts up to one year.</p>
",https://neogen.store/product/aqara-roller-shade-driver-e1-rsd-m01-smart-roller-blind-motor-with-homekit/
