"name","name_ar","sku","price","sale_price","quantity","is_infinite","is_taxable","requires_shipping","is_draft","description","short_description","categories","images","weight","barcode"
"SLZB SLZB-07","SLZB SLZB-07","NGS-SLZ-ZIG-0335","249","","10","FALSE","TRUE","TRUE","FALSE","SLZB SLZB-07 available at NGS Smart Home Store. Price: 249 SAR.","SLZB SLZB-07 &#8211; Smart Home Product","منسق Zigbee","https://neogen.store/wp-content/uploads/NGS-SLZ-ZIG-0335.webp","",""
"SLZB SLZB-06","SLZB SLZB-06","NGS-SLZ-ZIG-0334","199","","10","FALSE","TRUE","TRUE","FALSE","SLZB SLZB-06 available at NGS Smart Home Store. Price: 199 SAR.","SLZB SLZB-06 &#8211; Smart Home Product","منسق Zigbee","https://neogen.store/wp-content/uploads/NGS-SLZ-ZIG-0334.webp","",""
"GL.iNet Flint 2 (GL-MT6000)","GL.iNet Flint 2 (GL-MT6000)","NGS-GL-TRA-0333","549","","10","FALSE","TRUE","TRUE","FALSE","GL.iNet Flint 2 (GL-MT6000) available at NGS Smart Home Store. Price: 549 SAR.","GL.iNet Flint 2 (GL-MT6000) &#8211; Smart Home Product","سفر","https://neogen.store/wp-content/uploads/NGS-GL-TRA-0333.webp","",""
"GL.iNet Beryl AX (MT3000)","GL.iNet Beryl AX (MT3000)","NGS-GL-TRA-0332","349","","10","FALSE","TRUE","TRUE","FALSE","GL.iNet Beryl AX (MT3000) available at NGS Smart Home Store. Price: 349 SAR.","GL.iNet Beryl AX (MT3000) &#8211; Smart Home Product","سفر","https://neogen.store/wp-content/uploads/NGS-GL-TRA-0332.webp","",""
"Eero Pro 6E (3-pack)","Eero Pro 6E (3-pack)","NGS-EER-MES-0331","2499","","10","FALSE","TRUE","TRUE","FALSE","Eero Pro 6E (3-pack) available at NGS Smart Home Store. Price: 2499 SAR.","Eero Pro 6E (3-pack) &#8211; Smart Home Product","شبكة Mesh","https://neogen.store/wp-content/uploads/NGS-EER-MES-0331.webp","",""
"ASUS ZenWiFi XT9 (2-pack)","ASUS ZenWiFi XT9 (2-pack)","NGS-ASU-MES-0330","1999","","10","FALSE","TRUE","TRUE","FALSE","ASUS ZenWiFi XT9 (2-pack) available at NGS Smart Home Store. Price: 1999 SAR.","ASUS ZenWiFi XT9 (2-pack) &#8211; Smart Home Product","شبكة Mesh","https://neogen.store/wp-content/uploads/NGS-ASU-MES-0330.webp","",""
"TP-Link Deco XE75 (3-pack)","TP-Link Deco XE75 (3-pack)","NGS-TP-MES-0329","1799","","10","FALSE","TRUE","TRUE","FALSE","TP-Link Deco XE75 (3-pack) available at NGS Smart Home Store. Price: 1799 SAR.","TP-Link Deco XE75 (3-pack) &#8211; Smart Home Product","شبكة Mesh","https://neogen.store/wp-content/uploads/NGS-TP-MES-0329.webp","",""
"Protectli VP4670","Protectli VP4670","NGS-PRO-FIR-0328","2999","","10","FALSE","TRUE","TRUE","FALSE","Protectli VP4670 available at NGS Smart Home Store. Price: 2999 SAR.","Protectli VP4670 &#8211; Smart Home Product","جدار ناري","https://neogen.store/wp-content/uploads/NGS-PRO-FIR-0328.webp","",""
"Protectli VP2420","Protectli VP2420","NGS-PRO-FIR-0327","1799","","10","FALSE","TRUE","TRUE","FALSE","Protectli VP2420 available at NGS Smart Home Store. Price: 1799 SAR.","Protectli VP2420 &#8211; Smart Home Product","جدار ناري","https://neogen.store/wp-content/uploads/NGS-PRO-FIR-0327.webp","",""
"Firewalla Purple SE","Firewalla Purple SE","NGS-FIR-FIR-0326","999","","10","FALSE","TRUE","TRUE","FALSE","Firewalla Purple SE available at NGS Smart Home Store. Price: 999 SAR.","Firewalla Purple SE &#8211; Smart Home Product","جدار ناري","https://neogen.store/wp-content/uploads/NGS-FIR-FIR-0326.webp","",""
"Firewalla Gold Plus","Firewalla Gold Plus","NGS-FIR-FIR-0325","1999","","10","FALSE","TRUE","TRUE","FALSE","Firewalla Gold Plus available at NGS Smart Home Store. Price: 1999 SAR.","Firewalla Gold Plus &#8211; Smart Home Product","جدار ناري","https://neogen.store/wp-content/uploads/NGS-FIR-FIR-0325.webp","",""
"TP-Link EAP670 Omada","TP-Link EAP670 Omada","NGS-TP-AP-0324","699","","10","FALSE","TRUE","TRUE","FALSE","TP-Link EAP670 Omada available at NGS Smart Home Store. Price: 699 SAR.","TP-Link EAP670 Omada &#8211; Smart Home Product","أكسس بوينت","https://neogen.store/wp-content/uploads/NGS-TP-AP-0324.webp","",""
"TP-Link TL-SG2428P Omada","TP-Link TL-SG2428P Omada","NGS-TP-SWI-0323","1299","","10","FALSE","TRUE","TRUE","FALSE","TP-Link TL-SG2428P Omada available at NGS Smart Home Store. Price: 1299 SAR.","TP-Link TL-SG2428P Omada &#8211; Smart Home Product","سويتشات","https://neogen.store/wp-content/uploads/NGS-TP-SWI-0323.webp","",""
"TP-Link ER7206 Omada","TP-Link ER7206 Omada","NGS-TP-ROU-0322","599","","10","FALSE","TRUE","TRUE","FALSE","TP-Link ER7206 Omada available at NGS Smart Home Store. Price: 599 SAR.","TP-Link ER7206 Omada &#8211; Smart Home Product","راوترات","https://neogen.store/wp-content/uploads/NGS-TP-ROU-0322.webp","",""
